93546    2119294.86    Durban
00486    2596220.15    Port Elizabeth
95201    0507358.16    Durban
28216    9228971.97    Johannesburg
79690    5409174.67    Cape Town
09903    7457735.27    Port Elizabeth
67966    3686449.15    Port Elizabeth
31984    8713790.99    Port Elizabeth
66443    5446675.20    Port Elizabeth
91227    5945140.10    Johannesburg
59037    9300934.42    Durban
50979    6217442.67    Port Elizabeth
58216    0753918.53    Cape Town
02770    6106987.05    Durban
52592    2166071.11    Port Elizabeth
57496    9533125.36    Johannesburg
21642    9333141.61    Port Elizabeth
80312    7605306.95    Port Elizabeth
45077    9537285.31    Port Elizabeth
55625    5523911.04    Port Elizabeth
86688    1990792.78    Johannesburg
37231    0830916.44    Johannesburg
50585    4975286.08    Johannesburg
34116    9764984.33    Cape Town
71247    9440967.45    Port Elizabeth
86652    9549621.24    Durban
67206    9374453.04    Port Elizabeth
19120    4873998.76    Cape Town
38953    6279292.47    Cape Town
31130    0755218.29    Port Elizabeth
98072    6391397.30    Port Elizabeth
42868    8951341.89    Johannesburg
77395    8682485.84    Durban
54060    8549733.02    Durban
